891234,1,65,2,58,3,45,4,60,5,50,12,48,42,42,46,60
783461,3,65,1,58,2,45,125,60,137,68,126,100,57,77,4,60
584123,7,80,1,54,27,56,40,76,2,70,3,67,8,30,42,78
781243,13,56,1,28,65,75,2,86,3,92,82,54,106,67,565,45
654302,569,45,1,56,2,34,3,100,52,46,83,15,125,32,217,90
568342,57,45,200,100,224,56,126,89,137,77,1,98,2,87,3,87
923421,1,58,3,67,2,76,13,56,218,98,100,67,65,62,106,24
763424,81,45,2,67,5,100,8,100,3,78,54,87,81,91,1,87
354214,46,76,217,80,42,0,1,49,2,56,52,90,2,12,3,43
543216,1,81,2,67,3,57,100,100,57,98,125,82,224,78,217,67
